Fire_Year,smoke_metric
1962,34.08108377913205
1963,13.071290064645336
1964,0.6956343886126765
1965,0.538599471751989
1966,0.27670033860809756
1967,6.075973819291265
1968,4.597594930714592
1969,1.3765624036513744
1970,8.64918220606504
1971,5.880785030735352
1972,0.6924362202101073
1973,0.9106892020793278
1974,1.162042084365518
1975,1.2737003123308073
1976,2.5103157077290903
1977,3.765615952077407
1978,4.798027457514824
1979,2.324885457260408
1980,12.34876911677276
1981,1.6930512049585957
1982,0.7277477779333873
1983,1.367787573998838
1984,3.6246141010474173
1985,148.77482073765955
1986,69.75505197971252
1987,173.63439077468163
1988,12.535003828035173
1989,51.355646039218485
1990,17.02091168568054
1991,155.10008421240448
1992,99.19790524800548
1993,8.593331047569388
1994,30.38042696628443
1995,80.09524218537722
1996,9.84987329967017
1997,26.62546053101606
1998,8.64281296450601
1999,57.7007025039779
2000,36.65338490699021
2001,42.687382461310335
2002,25.347044880749632
2003,10.32285744331704
2004,18.32114033560181
2005,17.907898262913932
2006,19.184242868252678
2007,41.461169045057865
2008,29.75138834630526
2009,15.696519457605637
2010,22.063154289553168
2011,36.41238592585454
2012,27.41250699932871
2013,6.74071944133651
2014,11.069489133338209
2015,11.059303539035502
2016,33.45650072589323
2017,20.416087700709507
2018,7.99286834653574
2019,4.629976228704092
2020,3.801521116054935
